"id","STREET_NAME","yearCreated","totPotHole"
"175","8TH ST","2023",64
"176","DANE AV","2025",64
"177","GAFF AV","2024",64
"178","LUDLOW AV","2023",64
"179","PIKE ST","2025",64
"180","SHEPHERD RD","2024",64
"181","DAYTON ST","2024",63
"182","PLAINVILLE RD","2024",63
"183","DELHI AV","2023",62
"184","7TH ST","2023",61
"185","CRAWFORD AV","2023",60
"186","DANA AV","2023",60
"187","I-75 SB EXWY","2023",60
"188","LEDGEWOOD DR","2025",60
"189","WARSAW AV","2024",60
"190","BEECHMONT CT","2025",59
"191","CENTER HILL AV","2025",59
"192","SHERMAN AV","2025",59
"193","SUNSET AV","2023",59
"194","WERK RD","2024",59
"195","LITTLE FLOWER AV","2024",58
"196","OBSERVATORY AV","2024",58
"197","ANTHONY WAYNE AV","2023",57
"198","CUSTER ST","2025",57
"199","DORCHESTER AV","2023",56
"200","LISCHER AV","2025",56
"201","MONTGOMERY RD","2023",56
"202","WILDER AV","2023",56
"203","WINTON RIDGE LN","2025",56
"204","HARRYWOOD CT","2023",55
"205","KIPLING AV","2025",55
"206","3RD ST","2025",54
"207","CALHOUN ST","2025",54
"208","LOSANTIVILLE AV","2025",54
"209","MCMILLAN ST","2024",54
"210","PUTZ PL","2025",54
"211","STATE AV","2023",53
"212","SUNSET AV","2024",53
"213","WINTON RD","2025",53
"214","2ND ST","2025",52
"215","HIGHLAND AV","2025",52
"216","LINN ST","2023",52
"217","POPLAR ST","2023",52
"218","CEDAR AV","2025",51
"219","DELTA AV","2025",51
"220","MARBURG AV","2023",51
"221","MONTGOMERY RD","2024",51
"222","BRAMBLE AV","2025",50
"223","ELSINORE PL","2025",50
"224","GILSEY AV","2025",50
"225","GLENCROSSING WY","2024",50
"226","GOLDEN AV","2025",50
"227","SHADYMIST LN","2025",50
"228","4TH ST","2025",49
"229","GLENCROSSING WY","2025",49
"230","GLENMORE AV","2024",49
"231","MAIN ST","2025",49
"232","MAPLE DR","2025",49
"233","ORKNEY AV","2025",49
"234","DORCHESTER AV","2024",48
"235","ELMORE ST","2025",48
"236","KENARD AV","2025",48
"237","LLANFAIR AV","2025",48
"238","OVERLOOK AV","2024",48
"239","WEST FORK RD","2024",48
"240","ELM ST","2023",47
"241","GALBRAITH RD","2023",47
"242","GLENWOOD AV","2025",47
"243","KIPLING AV","2023",47
"244","LIBERTY ST","2025",47
"245","MCMICKEN AV","2023",47
"246","3RD ST","2023",46
"247","EDWOOD AV","2025",46
"248","HARVEY AV","2025",46
"249","RIVERSIDE DR","2025",46
"250","DAYTON ST","2023",45
"251","I-71 SB EXWY","2024",45
"252","PLUM ST","2023",45
"253","BEECHMAR DR","2023",44
"254","ELKTON PL","2025",44
"255","EVANSTON AV","2023",44
"256","KINGS RUN DR","2023",44
"257","PAXTON AV","2024",44
"258","PETE ROSE WY","2023",44
"259","PRICE AV","2023",44
"260","WASSON RD","2024",44
"261","WEST FORK RD","2023",44
"262","CAVANAUGH AV","2023",43
"263","DUCK CREEK RD","2024",43
"264","HOWARD AV","2023",43
"265","LOSANTIVILLE AV","2024",43
"266","PETE ROSE WY","2025",43
"267","CHERRY ST","2023",42
"268","COPPERLEAF LN","2025",42
"269","COURT ST","2023",42
"270","SUMMIT RD","2025",42
"271","CENTER HILL AV","2023",41
"272","CLIFTON AV","2023",41
"273","GLENHILLS WY","2023",41
"274","IBSEN AV","2025",41
"275","MEHRING WY","2023",41
"276","RACE ST","2023",41
"277","REVERE AV","2025",41
"278","SPRINGLAWN AV","2025",41
"279","75TH ST","2025",40
"280","ARGUS RD","2025",40
"281","BEECHMONT CT","2023",40
"282","DANE AV","2023",40
"283","GOODMAN DR","2025",40
"284","PLAINVILLE RD","2023",40
"285","PRICE AV","2025",40
"286","TURRILL ST","2025",40
"287","GLEN MEADOW LN","2023",39
"288","ISABELLA AV","2023",39
"289","STATE AV","2024",39
"290","7TH ST","2024",38
"291","CENTRAL PKWY","2023",38
"292","I-75 NB EXWY","2023",38
"293","JEFFERSON AV","2023",38
"294","STRAND LN","2025",38
"295","COLERAIN AV","2024",37
"296","SUTTON AV","2025",37
"297","CORBLY ST","2024",36
"298","FOUR TOWERS DR","2023",36
"299","GRACELY DR","2025",36
"300","LINN ST","2024",36
"301","LINWOOD AV","2024",36
"302","MCHENRY AV","2023",36
"303","MUDDY CREEK RD","2025",36
"304","PURCELL AV","2025",36
"305","STRAIGHT ST","2025",36
"306","TRAILWOOD DR","2025",36
"307","WHETSEL AV","2025",36
"308","BROOKCREST DR","2025",35
"309","DUTCH COLONY DR","2025",35
"310","GRANDIN RD","2024",35
"311","LAFEUILLE AV","2024",35
"312","LINWOOD AV","2023",35
"313","LLEWELLYN AV","2025",35
"314","WESTWOOD NORTHERN BLVD","2025",35
"315","4TH ST","2023",34
"316","CENTRAL PKWY","2024",34
"317","DUCK CREEK CT","2025",34
"318","GLENWAY AV","2024",34
"319","GUERLEY RD","2025",34
"320","HENSHAW AV","2023",34
"321","HILLSIDE AV","2025",34
"322","LOSANTIVILLE AV","2023",34
"323","MORGAN ST","2025",34
"324","NOTTINGHAM RD","2025",34
"325","WOODBURN AV","2023",34
"326","WOODFORD RD","2024",34
"327","2ND ST","2024",33
"328","CALVERT ST","2025",33
"329","CLARK ST","2025",33
"330","KEMPER LN","2025",33
"331","RACE ST","2025",33
"332","STRAIGHT ST","2023",33
"333","WARSAW AV","2023",33
"334","ANDERSON FERRY RD","2024",32
"335","BALTIMORE AV","2023",32
"336","JONATHAN AV","2025",32
"337","KENNEDY AV","2023",32
"338","LA CROSSE AV","2025",32
"339","MCFARLAN RD","2025",32
"340","SUTTER AV","2025",32
"341","BOONE ST","2023",31
"342","FREEMAN AV","2025",31
"343","HERMOSA AV","2025",31
"344","LESTER RD","2025",31
"345","OBSERVATORY AV","2025",31
"346","5TH ST","2023",30
"347","ARGUS RD","2024",30
"348","EDISON DR","2023",30
"349","GILSEY AV","2024",30
"350","GLENMORE AV","2023",30
"351","PEDRETTI AV","2023",30
"352","PURCELL AV","2023",30
"353","PURCELL AV","2024",30
"354","ROSEMONT AV","2025",30
"355","TUXEDO PL","2023",30
"356","EDEN PARK DR","2023",29
"357","FINDLAY ST","2025",29
"358","MAY ST","2025",29
"359","WILLIAM H TAFT RD","2023",29
"360","5TH ST","2025",28
"361","CAVANAUGH AV","2024",28
"362","GREEN GLEN LN","2025",28
"363","PROBASCO ST","2024",28
"364","RIVERSIDE DR","2024",28
"365","ROE ST","2025",28
"366","SPINDLEHILL DR","2023",28
"367","CEDAR AV","2024",27
"368","DALTON AV","2023",27
"369","DAUNER AV","2023",27
"370","ELKTON PL","2023",27
"371","HIGHLAND AV","2023",27
"372","LANGLAND ST","2023",27
"373","MIDWAY AV","2023",27
"374","RED BANK EXWY","2025",27
"375","SCHWARTZE AV","2025",27
"376","TRAILWOOD DR","2023",27
"377","BUCK ST","2025",26
"378","CENTRAL AV","2023",26
"379","CHANDLER ST","2024",26
"380","COPPERLEAF LN","2024",26
"381","COVEDALE AV","2024",26
"382","DREMAN AV","2025",26
"383","DUCK CREEK RD","2023",26
"384","MCHENRY AV","2024",26
"385","MINOT AV","2024",26
"386","MORRISON AV","2025",26
"387","OAK ST","2025",26
"388","REEDY ST","2023",26
"389","WINTON RIDGE LN","2023",26
"390","EASTERN AV","2025",25
"391","EZZARD CHARLES DR","2025",25
"392","HOLLAND DR","2025",25
"393","HOMER AV","2024",25
"394","KENWOOD RD","2024",25
"395","ROE ST","2023",25
"396","SHIELDS ST","2023",25
"397","BOAL ST","2023",24
"398","CLIFTON CT","2024",24
"399","COLUMBIA PKWY","2023",24
"400","COVEDALE AV","2025",24
"401","FLORENCE AV","2023",24
"402","GOLDEN AV","2023",24
"403","IDA ST","2023",24
"404","LESTER RD","2023",24
"405","NOVA AV","2024",24
"406","REVERE AV","2024",24
"407","SINTON AV","2025",24
"408","STRAND LN","2024",24
"409","WILLIAM P DOOLEY BYPS","2024",24
"410","WINCHELL AV","2023",24
"411","WOODFORD RD","2023",24
"412","BANK ST","2025",23
"413","BOUDINOT AV","2024",23
"414","CARY AV","2025",23
"415","DORCHESTER AV","2025",23
"416","EDEN AV","2023",23
"417","ESTE AV","2024",23
"418","LLANFAIR AV","2024",23
"419","MARTIN DR","2024",23
"420","PEDRETTI AV","2024",23
"421","TRAILWOOD DR","2024",23
"422","EASTWOOD CIR","2023",22
"423","FLORENCE AV","2025",22
"424","HIGHFOREST LN","2024",22
"425","HOMER AV","2025",22
"426","LLANFAIR AV","2023",22
"427","WASIGO DR","2025",22
"428","WENNER ST","2023",22
"429","CALIFORNIA AV","2025",21
"430","DELRIDGE DR","2024",21
"431","EDWOOD AV","2024",21
"432","ESMONDE ST","2023",21
"433","FAIRVIEW AV","2025",21
"434","GLENCROSSING WY","2023",21
"435","GLENWOOD PL","2025",21
"436","GOODMAN DR","2023",21
"437","GRAY RD","2025",21
"438","HIGHLAND AV","2024",21
"439","I-71 NB EXWY","2025",21
"440","LACLEDE AV","2025",21
"441","LAWNDALE AV","2023",21
"442","RIDDLE VIEW LN","2024",21
"443","RIDDLE VIEW LN","2025",21
"444","ROE ST","2024",21
"445","SALEM RD","2025",21
"446","WESTERN AV","2025",21
"447","ZINSLE AV","2023",21
"448","BEEKMAN ST","2023",20
"449","BROADWAY","2025",20
"450","CALHOUN ST","2024",20
"451","CHASE AV","2025",20
"452","COPPERLEAF LN","2023",20
"453","EPWORTH AV","2025",20
"454","FAIRBANKS AV","2025",20
"455","GILSEY AV","2023",20
"456","LUDLOW AV","2024",20
"457","MILLSBRAE AV","2023",20
"458","RED BANK RD","2023",20
"459","ROCKDALE AV","2025",20
"460","SUTTER AV","2024",20
"461","TENNESSEE AV","2024",20
"462","TENNESSEE AV","2025",20
"463","TODD AV","2023",20
"464","WADE ST","2025",20
"465","WAITS AV","2024",20
"466","WHETSEL AV","2023",20
"467","CARDIFF AV","2023",19
"468","CHARLTON ST","2023",19
"469","CORBLY ST","2023",19
"470","ELBERON AV","2024",19
"471","ELIZABETH PL","2025",19
"472","FROOME AV","2025",19
"473","GOLDEN AV","2024",19
"474","HOLLYWOOD AV","2025",19
"475","KENARD AV","2023",19
"476","KENWOOD RD","2023",19
"477","LAIDLAW AV","2024",19
"478","LIBERTY ST","2024",19
"479","MATHERS ST","2023",19
"480","RAVINE ST","2023",19
"481","RIDDLE RD","2025",19
"482","RUE DE LA PAIX","2025",19
"483","WHETSEL AV","2024",19
"484","WILMER AV","2023",19
"485","BALTIMORE AV","2025",18
"486","BEDFORD AV","2023",18
"487","CARSON AV","2023",18
"488","CENTER HILL AV","2024",18
"489","CINDY LN","2025",18
"490","EAST TOWER DR","2023",18
"491","ELBERON AV","2023",18
"492","ELM ST","2025",18
"493","FAIRPARK AV","2025",18
"494","GRACELY DR","2024",18
"495","LESTER RD","2024",18
"496","MCMILLAN ST","2023",18
"497","MIDWAY AV","2025",18
"498","MINOT AV","2023",18
"499","MOONEY AV","2023",18
"500","PAMELEEN CT","2024",18
"501","RADCLIFF DR","2025",18
"502","SARANAC AV","2025",18
"503","ST JOHNS PL","2024",18
"504","APPLETON ST","2024",17
"505","BEECHMONT CIR","2025",17
"506","BORRMAN AV","2025",17
"507","CALHOUN ST","2023",17
"508","CHERRY ST","2024",17
"509","EDISON DR","2025",17
"510","ENRIGHT AV","2023",17
"511","GLENDORA AV","2025",17
"512","HOGE ST","2024",17
"513","HOLLAND DR","2023",17
"514","MADISON PARK AV","2024",17
"515","PEASLEE AV","2025",17
"516","PLUM ST","2024",17
"517","SECTION RD","2024",17
"518","SHADYMIST LN","2024",17
"519","STRAND LN","2023",17
"520","VAN KIRK AV","2025",17
"521","VAN METER ST","2025",17
"522","WESTMONT DR","2023",17
"523","WESTMONT DR","2025",17
"524","WESTWOOD AV","2025",17
"525","4TH ST","2024",16
"526","BLUESPRUCE LN","2025",16
"527","BROTHERTON RD","2023",16
"528","BROTHERTON RD","2024",16
"529","CHERRYWOOD CT","2025",16
"530","CLIFF DR","2025",16
"531","COLERIDGE AV","2023",16
"532","CONSIDINE AV","2025",16
"533","DICKENS AV","2025",16
"534","ELMORE CT","2025",16
"535","GALBRAITH RD","2024",16
"536","GROVER HILL AV","2023",16
"537","IDA ST","2025",16
"538","LAFEUILLE AV","2023",16
"539","MINOT AV","2025",16
"540","PEARTON CT","2025",16
"541","RAVENNA ST","2025",16
"542","RED BANK RD","2025",16
"543","REVERE AV","2023",16
"544","RYLAND AV","2024",16
"545","SCHWARTZE AV","2024",16
"546","SWISS CHALET CT","2023",16
"547","TUSCULUM AV","2023",16
"548","WARNER ST","2025",16
"549","3RD ST","2024",15
"550","ANDERSON FERRY RD","2025",15
"551","ANTHONY WAYNE AV","2025",15
"552","ATKINSON ST","2025",15
"553","BANNING RD","2025",15
"554","BERCLIFF AV","2023",15
"555","CARDIFF AV","2025",15
"556","CITYCENTRE DR","2023",15
"557","CRANE AV","2024",15
"558","EVANSTON AV","2024",15
"559","GLEN ORCHARD DR","2023",15
"560","KEMPER LN","2023",15
"561","KIPLING AV","2024",15
"562","MCALPIN AV","2025",15
"563","MILLSBRAE AV","2025",15
"564","MOONEY AV","2025",15
"565","OAK ST","2024",15
"566","ORKNEY AV","2023",15
"567","POPLAR ST","2024",15
"568","RED BANK EXWY","2024",15
"569","SPRINGLAWN AV","2023",15
"570","STANDISH AV","2025",15
"571","SUNSET LN","2025",15
"572","TUSCULUM AV","2024",15
"573","WARNER ST","2024",15
"574","9TH ST","2025",14
"575","ASHWORTH DR","2023",14
"576","BROOKCREST DR","2024",14
"577","BUCKINGHAM PL","2025",14
"578","BURNET AV","2024",14
"579","BURNEY LN","2024",14
"580","EDEN PARK DR","2024",14
"581","HILL ST","2025",14
"582","INDIAN HILL RD","2023",14
"583","LEHMAN RD","2024",14
"584","LLEWELLYN AV","2024",14
"585","MARTIN DR","2025",14
"586","MISSOURI AV","2024",14
"587","OAKLAWN DR","2023",14
"588","PARKCREST LN","2025",14
"589","ROCHELLE ST","2025",14
"590","RYLAND AV","2023",14
"591","SACHEM AV","2023",14
"592","SECTION RD","2025",14
"593","SHIRLEY PL","2024",14
"594","SUTTON AV","2024",14
"595","VISTA AV","2025",14
"596","ZINSLE AV","2025",14
"597","APPLETON ST","2023",13
"598","BANNING RD","2024",13
"599","BEAVER AV","2023",13
"600","BUTTERCUP LN","2023",13
"601","DELHI AV","2025",13
"602","DOWNING DR","2025",13
"603","DUCK CREEK CT","2023",13
"604","EGGLESTON AV","2024",13
"605","ENRIGHT AV","2025",13
"606","GLENHILLS WY","2024",13
"607","HALE AV","2025",13
"608","LACLEDE AV","2023",13
"609","LANGDON FARM RD","2024",13
"610","MAIN ST","2024",13
"611","MATHERS ST","2024",13
"612","MAYRIDGE CT","2024",13
"613","MEHRING WY","2024",13
"614","MITCHELL AV","2023",13
"615","PADDOCK HILLS AV","2024",13
"616","PLAYFIELD LN","2023",13
"617","PRESIDENT DR","2025",13
"618","RADCLIFF DR","2023",13
"619","RAPID RUN PIKE","2023",13
"620","RED BANK EXWY","2023",13
"621","RED BANK RD","2024",13
"622","REPUBLIC ST","2023",13
"623","ROSEMONT AV","2024",13
"624","SALVADOR ST","2024",13
"625","SHIRLEY PL","2025",13
"626","SHORT VINE ST","2025",13
"627","SMITH ST","2025",13
"628","ST LAWRENCE AV","2025",13
"629","SYCAMORE ST","2023",13
"630","SYCAMORE ST","2024",13
"631","TARPIS AV","2025",13
"632","VANDERCAR WY","2025",13
"633","WESTHAVEN AV","2023",13
"634","WHITFIELD AV","2025",13
"635","WINTON RD","2023",13
"636","ASHWORTH DR","2024",12
"637","ATLANTIC AV","2023",12
"638","AUDUBON ST","2025",12
"639","BEECH AV","2023",12
"640","BIG CHIEF DR","2023",12
"641","BISHOP ST","2025",12
"642","BOUDINOT AV","2023",12
"643","BOWMAN AV","2024",12
"644","BUDWOOD CT","2024",12
"645","CLANORA DR","2023",12
"646","CLARK ST","2023",12
"647","CRYER AV","2023",12
"648","DELRIDGE DR","2025",12
"649","DELTA AV","2024",12
"650","ELIZABETH PL","2023",12
"651","ELMORE ST","2024",12
"652","GARFIELD PL","2025",12
"653","GLENDORA AV","2024",12
"654","GLENWOOD PL","2023",12
"655","GRANTWOOD AV","2023",12
"656","HARRYWOOD CT","2024",12
"657","HERMOSA AV","2023",12
"658","I-74 EB EXWY","2023",12
"659","KEMPER LN","2024",12
"660","KINGS RUN DR","2024",12
"661","LINDEN DR","2025",12
"662","MERIWEATHER AV","2024",12
"663","MOONEY AV","2024",12
"664","PARKER ST","2023",12
"665","PARKER ST","2025",12
"666","PETE ROSE WY","2024",12
"667","PHYLLIS LN","2025",12
"668","PRINCIPIO AV","2023",12
"669","RACE ST","2024",12
"670","RIDDLE RD","2023",12
"671","STANLEY AV","2025",12
"672","WILMER AV","2024",12
"673","WILMER AV","2025",12
"674","9TH ST","2023",11
"675","9TH ST","2024",11
"676","ANTHONY WAYNE AV","2024",11
"677","ARGUS RD","2023",11
"678","ARNSBY PL","2023",11
"679","BERKLEY AV","2025",11
"680","BLUESPRUCE LN","2023",11
"681","BURNET AV","2025",11
"682","CARNEY ST","2023",11
"683","CORRY ST","2025",11
"684","CUTTER ST","2025",11
"685","EGGLESTON AV","2025",11
"686","ERIE CT","2023",11
"687","FLORENCE AV","2024",11
"688","GLADE AV","2025",11
"689","GRAND AV","2025",11
"690","GUERLEY RD","2024",11
"691","HIGHLAND DR","2025",11
"692","I-71 NB EXWY","2023",11
"693","I-74 EB EXWY","2024",11
"694","KNOTTYPINE DR","2023",11
"695","LA CROSSE AV","2023",11
"696","LEHMAN RD","2025",11
"697","LITTLE FLOWER AV","2023",11
"698","MYRTLE AV","2024",11
"699","OAK KNOLL DR","2025",11
"700","OAKFIELD AV","2023",11
"701","REEMELIN AV","2023",11
"702","REEMELIN AV","2025",11
"703","SAVANNAH AV","2025",11
"704","SCHWARTZE AV","2023",11
"705","SHAW AV","2025",11
"706","STITES AV","2025",11
"707","TEAKWOOD AV","2025",11
"708","THERESA ST","2023",11
"709","TRIMBLE AV","2025",11
"710","TURRILL ST","2023",11
"711","WHITEMAN ST","2023",11
"712","WILDER AV","2024",11
"713","12TH ST","2023",10
"714","ALBERTS CT","2025",10
"715","BELLEWOOD AV","2024",10
"716","BERKLEY AV","2024",10
"717","BIRCHWOOD AV","2025",10
"718","BORDEN ST","2025",10
"719","CHERRY ST","2025",10
"720","CONGRESS AV","2024",10
"721","CONGREVE AV","2024",10
"722","CUTTER ST","2024",10
"723","EASTERN AV","2024",10
"724","EDEN PARK DR","2025",10
"725","EDROY CT","2025",10
"726","EGGLESTON AV","2023",10
"727","ESTE AV","2023",10
"728","FAIRBANKS AV","2024",10
"729","FARADAY RD","2024",10
"730","GLEN ORCHARD DR","2025",10
"731","GRACELAND AV","2023",10
"732","GROESBECK RD","2025",10
"733","HARBESON AV","2025",10
"734","HAWAIIAN TER","2024",10
"735","HILL ST","2024",10
"736","HOFF AV","2023",10
"737","HOGE ST","2023",10
"738","HOPPLE ST","2025",10
"739","I-71 NB EXWY","2024",10
"740","MEIS AV","2023",10
"741","MEIS AV","2025",10
"742","MICHIGAN AV","2024",10
"743","OAK ST","2023",10
"744","PRICE AV","2024",10
"745","RAVINE ST","2024",10
"746","SHEPHERD CREEK RD","2025",10
"747","SINTON AV","2024",10
"748","ST LAWRENCE AV","2023",10
"749","SUMMIT RD","2023",10
"750","TARPIS AV","2023",10
"751","TERRY ST","2025",10
"752","TOWNEVISTA DR","2025",10
"753","WARNER ST","2023",10
"754","WESTMONT DR","2024",10
"755","WILLNET DR","2025",10
"756","WINTER ST","2024",10
"757","WOODLAWN AV","2025",10
"758","WOODMONT AV","2025",10
"759","WOODSFIELD ST","2025",10
"760","YORK ST","2025",10
"761","AIRPORT RD","2025",9
"762","ALLENDALE DR","2025",9
"763","BODLEY AV","2025",9
"764","BOONE ST","2025",9
"765","BRUCE AV","2025",9
"766","BUCK ST","2024",9
"767","BUCKINGHAM PL","2023",9
"768","BURNEY LN","2025",9
"769","CAMBRIDGE AV","2025",9
"770","CEDAR AV","2023",9
"771","CHARLTON ST","2025",9
"772","CHERRYWOOD CT","2024",9
"773","CLIFTON HILLS AV","2025",9
"774","DIXMONT AV","2024",9
"775","DIXMONT AV","2025",9
"776","DOWNING DR","2024",9
"777","ECHO LN","2023",9
"778","ELIZABETH PL","2024",9
"779","ELM ST","2024",9
"780","ELMORE ST","2023",9
"781","ELSINORE PL","2024",9
"782","ERKENBRECHER AV","2025",9
"783","ESTE AV","2025",9
"784","FAIRFAX AV","2025",9
"785","FERNBANK AV","2025",9
"786","FOX RD","2025",9
"787","GREENDALE AV","2024",9
"788","HARRIS AV","2023",9
"789","HIGHFOREST LN","2023",9
"790","IBSEN AV","2023",9
"791","KENILWORTH PL","2024",9
"792","KINGS RUN CT","2025",9
"793","MARLINGTON AV","2024",9
"794","MCPHERSON AV","2023",9
"795","MILLSBRAE AV","2024",9
"796","MT HOPE AV","2025",9
"797","MUDDY CREEK RD","2023",9
"798","OAKLAWN DR","2024",9
"799","OHIO RIVER TRAIL","2025",9
"800","PARKSIDE PL","2025",9
"801","PROVINCE LN","2025",9
"802","RAVENNA ST","2024",9
"803","ROBERTSON AV","2023",9
"804","RUTLEDGE AV","2023",9
"805","RYLAND AV","2025",9
"806","SHADYMIST LN","2023",9
"807","SHENANDOAH AV","2023",9
"808","SHIRLEY PL","2023",9
"809","ST GREGORY ST","2024",9
"810","STANLEY AV","2023",9
"811","STRATFORD AV","2025",9
"812","TEAKWOOD AV","2023",9
"813","WELLS ST","2025",9
"814","WILKINSON ST","2023",9
"815","WORTH ST","2024",9
"816","28TH ST","2024",8
"817","BALTIMORE AV","2024",8
"818","BEACON ST","2025",8
"819","BEECH HILL AV","2025",8
"820","BROADWELL AV","2023",8
"821","BUCKINGHAM PL","2024",8
