state,county,geoid,address_count,total_rows,ll_uuid,a_id,a_address,a_saddno,a_saddpref,a_saddstr,a_saddsttyp,a_saddstsuf,a_sunit,a_szip5,a_szip,a_carte,a_crtype,a_scity,a_state2,a_county,a_delvseqno,a_usps_elotseq,a_usps_elotsort,a_resbus,a_pmbdesc,a_pmbno,a_dpv_confirm,a_dpv_footnotes,a_default_match,a_lacsflag,a_usps_vacancy,a_nostats,a_error_code,a_extrainfo,a_dpv_type,a_geocodetype,a_moddate,a_census_blockgroup,a_lat,a_lon,a_geoid
AL,Chilton,01021,"28,342","30,210",51%,100%,100%,100%,0%,100%,24%,6%,3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Choctaw,01023,"10,358","10,459",18%,100%,100%,100%,4%,100%,63%,0%,3%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,99%,100%,100%,100%,100%,100%
AL,Clarke,01025,"18,894","23,775",61%,100%,100%,100%,7%,100%,72%,4%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Clay,01027,"10,778","10,778",29%,100%,100%,100%,3%,100%,58%,3%,4%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Cleburne,01029,"9,852","9,903",46%,100%,100%,100%,0%,100%,23%,1%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Coffee,01031,"33,190","35,819",78%,100%,100%,100%,8%,100%,56%,1%,10%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,94%,100%,100%,100%
AL,Colbert,01033,"39,141","39,674",67%,100%,100%,100%,18%,100%,83%,2%,11%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,94%,100%,100%,100%
AL,Conecuh,01035,"9,277","10,077",54%,100%,100%,100%,4%,100%,60%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Coosa,01037,"7,746","7,776",28%,100%,100%,100%,0%,100%,29%,0%,2%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,100%,100%,100%,100%
AL,Covington,01039,"26,702","27,826",56%,100%,100%,100%,7%,100%,77%,1%,3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Crenshaw,01041,"11,056","11,732",45%,100%,100%,100%,14%,100%,79%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
AL,Cullman,01043,"54,474","58,921",76%,100%,100%,100%,0%,100%,25%,22%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Dale,01045,"33,543","34,474",38%,100%,100%,100%,12%,100%,59%,1%,11%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AL,Dallas,01047,"28,094","28,739",58%,100%,100%,100%,3%,100%,59%,5%,14%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,93%,100%,100%,100%
AL,DeKalb,01049,"44,557","47,825",46%,100%,100%,100%,0%,100%,35%,20%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Elmore,01051,"49,446","50,086",67%,100%,100%,100%,4%,100%,84%,1%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
AL,Escambia,01053,"25,472","27,939",64%,100%,100%,100%,8%,100%,79%,0%,10%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
AL,Etowah,01055,"61,950","69,102",77%,100%,100%,100%,8%,100%,90%,9%,8%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Fayette,01057,"12,087","12,855",57%,100%,100%,100%,0%,100%,48%,35%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Franklin,01059,"19,518","19,651",32%,100%,100%,100%,0%,100%,54%,16%,10%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Geneva,01061,"20,041","20,768",56%,100%,100%,100%,36%,100%,59%,0%,2%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Greene,01063,"6,030","6,045",28%,100%,100%,100%,4%,100%,50%,0%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
AL,Hale,01065,"10,967","10,972",15%,100%,100%,100%,0%,100%,51%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,100%,100%,100%,100%
AL,Henry,01067,"12,065","12,644",66%,100%,100%,100%,9%,100%,49%,11%,3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Houston,01069,"67,290","68,015",82%,100%,100%,100%,16%,100%,86%,0%,19%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
AL,Jackson,01071,"37,201","37,704",67%,100%,100%,100%,6%,100%,37%,1%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Jefferson,01073,"417,516","419,264",79%,100%,100%,100%,1%,100%,86%,23%,16%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
AL,Lamar,01075,"11,563","12,195",41%,100%,100%,100%,0%,100%,52%,5%,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Lauderdale,01077,"57,866","59,399",74%,100%,100%,100%,9%,100%,55%,0%,11%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,97%,100%,100%,100%
AL,Lawrence,01079,"21,578","22,464",50%,100%,100%,100%,0%,100%,15%,0%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Lee,01081,"100,033","101,369",81%,100%,100%,100%,14%,100%,66%,1%,29%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AL,Limestone,01083,"56,828","59,260",79%,100%,100%,100%,6%,100%,89%,4%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
AL,Lowndes,01085,"8,409","8,793",40%,100%,100%,100%,1%,100%,60%,9%,1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
AL,Macon,01087,"17,807","17,827",4%,100%,100%,100%,7%,100%,47%,3%,8%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Madison,01089,"233,237","235,096",91%,100%,100%,100%,1%,100%,92%,51%,22%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Marengo,01091,"15,774","17,642",51%,100%,100%,100%,14%,100%,56%,4%,5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Marion,01093,"22,253","24,917",58%,100%,100%,100%,0%,100%,44%,6%,7%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Marshall,01095,"57,860","61,222",77%,100%,100%,100%,5%,100%,84%,8%,8%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Mobile,01097,"247,567","253,071",83%,100%,100%,100%,6%,100%,87%,14%,19%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AL,Monroe,01099,"15,730","16,599",42%,100%,100%,100%,6%,100%,62%,5%,7%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,92%,100%,100%,100%
AL,Montgomery,01101,"144,281","144,806",83%,100%,100%,100%,8%,100%,87%,1%,17%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AL,Morgan,01103,"71,100","78,471",72%,100%,100%,100%,4%,100%,85%,53%,13%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Perry,01105,"6,482","6,485",17%,100%,100%,100%,5%,100%,59%,1%,7%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,99%,100%,99%,100%,100%,100%
AL,Pickens,01107,"13,794","14,313",45%,100%,100%,100%,1%,100%,59%,16%,3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Pike,01109,"23,320","23,940",72%,100%,100%,100%,12%,100%,50%,1%,14%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,100%,100%,93%,100%,100%,100%
AL,Randolph,01111,"16,703","17,545",31%,100%,100%,100%,1%,100%,32%,2%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Russell,01113,"35,520","36,178",57%,100%,100%,100%,2%,100%,83%,8%,18%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,93%,100%,100%,100%
AL,St. Clair,01115,"56,399","58,539",80%,100%,100%,100%,1%,100%,79%,4%,3%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Shelby,01117,"121,509","122,955",85%,100%,100%,100%,1%,100%,78%,3%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
AL,Sumter,01119,"10,024","10,132",16%,100%,100%,100%,4%,100%,43%,1%,3%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
AL,Talladega,01121,"50,591","52,879",55%,100%,100%,100%,5%,100%,84%,5%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AL,Tallapoosa,01123,"32,409","34,175",62%,100%,100%,100%,5%,100%,76%,5%,8%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AL,Tuscaloosa,01125,"148,985","150,286",73%,100%,100%,100%,0%,100%,83%,17%,30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,94%,100%,91%,100%,100%,100%
AL,Walker,01127,"48,700","50,828",52%,100%,100%,100%,2%,100%,75%,8%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AL,Washington,01129,"11,941","12,621",29%,100%,100%,100%,0%,100%,52%,0%,1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AL,Wilcox,01131,"9,642","9,802",21%,100%,100%,100%,0%,100%,45%,7%,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,100%,100%,100%,100%
AL,Winston,01133,"18,413","21,661",52%,100%,100%,100%,1%,100%,33%,0%,3%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Aleutians East Borough,02013,"2,140","2,140",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Aleutians West Census Area,02016,"2,961","2,964",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Anchorage,02020,"177,620","178,514",73%,100%,100%,100%,19%,100%,81%,0%,34%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,89%,100%,100%,100%
AK,Bethel Census Area,02050,"7,306","7,306",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Bristol Bay Borough,02060,"2,034","2,038",28%,100%,100%,100%,3%,100%,28%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,72%,72%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Chugach Census Area,02063,"3,264","3,724",35%,100%,100%,100%,2%,100%,35%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,65%,65%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
AK,Copper River Census Area,02066,"4,884","4,884",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,94%,94%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,99%,100%,100%,100%,100%,100%
AK,Denali Borough,02068,"2,440","2,440",3%,100%,100%,100%,1%,100%,4%,0%,2%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Dillingham Census Area,02070,"2,653","2,653",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Fairbanks North Star Borough,02090,"63,193","63,273",59%,100%,100%,100%,2%,100%,70%,1%,19%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,91%,100%,100%,100%
AK,Haines Borough,02100,"1,863","1,863",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,100%,100%,100%,100%
AK,Hoonah-Angoon,02105,"2,055","2,055",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Juneau,02110,"22,409","23,106",63%,100%,100%,100%,6%,100%,64%,0%,23%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,68%,100%,100%,100%
AK,Kenai Peninsula Borough,02122,"44,151","44,232",46%,100%,100%,100%,5%,100%,49%,1%,8%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Ketchikan Gateway Borough,02130,"10,508","10,610",52%,100%,100%,100%,9%,100%,59%,0%,17%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Kodiak Island Borough,02150,"10,027","10,044",40%,100%,100%,100%,5%,100%,48%,0%,16%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
AK,Kusilvak Census Area,02158,"3,697","3,697",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Lake and Peninsula Borough,02164,"1,587","1,587",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Matanuska-Susitna Borough,02170,"56,041","56,051",64%,100%,100%,100%,64%,100%,65%,0%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
AK,Nome Census Area,02180,"4,022","4,022",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,North Slope Borough,02185,"3,593","3,593",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
AK,Northwest Arctic Borough,02188,"2,893","2,893",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Petersburg,02195,"2,639","2,722",19%,100%,100%,100%,6%,100%,19%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,70%,70%,100%,0%,0%,89%,100%,100%,100%,100%,100%,100%,0%,89%,100%,100%,100%,100%,100%,100%
AK,Prince of Wales-Hyder Census Area,02198,"4,902","4,902",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
AK,Sitka,02220,"7,133","7,154",49%,100%,100%,100%,0%,100%,57%,0%,19%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Skagway,02230,"1,169","1,169",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Southeast Fairbanks Census Area,02240,"4,079","4,079",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,98%,100%,88%,100%,100%,100%
AK,Wrangell,02275,"1,393","1,393",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Yakutat,02282,444,444,0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AK,Yukon-Koyukuk Census Area,02290,"5,713","5,713",0%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
AZ,Apache,04001,"35,424","35,493",7%,100%,100%,100%,7%,100%,7%,1%,1%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,94%,100%,100%,100%
AZ,Cochise,04003,"89,770","90,289",71%,100%,100%,100%,51%,100%,68%,0%,13%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,91%,100%,100%,100%
AZ,Coconino,04005,"92,704","93,115",69%,100%,100%,100%,52%,100%,66%,0%,20%,100%,100%,100%,100%,100%,100%,100%,100%,89%,89%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,100%,100%,89%,100%,100%,100%
AZ,Gila,04007,"49,316","49,704",63%,100%,100%,100%,68%,100%,65%,0%,11%,100%,100%,100%,100%,100%,100%,100%,100%,87%,87%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,89%,100%,100%,100%
