geoid,state,county,city,path,last_refresh,parcels_total,parcels_in_zone,zones_total,distinct_municipalities,last_date_modified,ogc_fid_pct,zoning_id_pct,municipality_id_pct,municipality_name_pct,zoning_pct,zoning_description_pct,zoning_type_pct,zoning_subtype_pct,zoning_guide_pct,zoning_code_link_pct,permitted_land_uses_pct,land_use_flags_permitted_pct,land_use_flags_conditional_pct,min_lot_area_sq_ft_pct,min_lot_width_ft_pct,max_building_height_ft_pct,max_far_pct,max_coverage_pct_pct,min_front_setback_ft_pct,min_rear_setback_ft_pct,max_impervious_coverage_pct_pct,min_side_setback_ft_pct,min_landscaped_space_pct_pct,min_open_space_pct_pct,max_density_du_per_acre_pct,zoning_data_date_pct,path_pct,centroid_pct
01071,AL,Jackson,,/us/al/jackson,2025-04-15,"43,802","9,464",130,1,2024-09-25,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,47%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01073,AL,Jefferson,,/us/al/jefferson,2025-10-15,"405,802","355,272","20,157",16,2025-01-08,100%,100%,100%,100%,100%,100%,100%,100%,8%,100%,90%,85%,20%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01075,AL,Lamar,,/us/al/lamar,2024-07-02,"20,965",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01077,AL,Lauderdale,,/us/al/lauderdale,2025-04-01,"55,105","18,310",282,1,2024-09-13,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,98%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01079,AL,Lawrence,,/us/al/lawrence,2025-11-11,"26,118","22,053",16,1,2024-09-16,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01081,AL,Lee,,/us/al/lee,2025-11-11,"71,257","40,641","2,397",3,2024-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,97%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01083,AL,Limestone,,/us/al/limestone,2025-05-28,"64,993","63,221",496,5,2024-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,85%,77%,60%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01085,AL,Lowndes,,/us/al/lowndes,2024-12-03,"13,467",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01087,AL,Macon,,/us/al/macon,2023-11-07,"20,055",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01089,AL,Madison,,/us/al/madison,2025-02-19,"186,188","104,567",857,2,2024-02-15,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,95%,17%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01091,AL,Marengo,,/us/al/marengo,2024-07-02,"24,079","4,776",145,1,2024-10-02,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,49%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01093,AL,Marion,,/us/al/marion,2024-07-02,"29,936","7,706",146,2,2024-09-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,92%,40%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01095,AL,Marshall,,/us/al/marshall,2025-04-15,"63,937","16,114",757,3,2024-09-25,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,94%,93%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01097,AL,Mobile,,/us/al/mobile,2025-02-19,"212,136","180,845","6,699",6,2025-05-01,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,97%,97%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01099,AL,Monroe,,/us/al/monroe,2025-04-29,"26,859","4,027",61,1,2024-09-13,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,72%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01101,AL,Montgomery,,/us/al/montgomery,2025-04-01,"104,493","94,308","1,731",1,2024-04-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,89%,33%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01103,AL,Morgan,,/us/al/morgan,2025-04-01,"75,876","33,553","1,409",3,2024-09-13,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,93%,65%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01105,AL,Perry,,/us/al/perry,2024-07-02,"12,343",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01107,AL,Pickens,,/us/al/pickens,2024-07-02,"24,509",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01109,AL,Pike,,/us/al/pike,2025-03-04,"24,870","7,964",640,1,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,94%,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01111,AL,Randolph,,/us/al/randolph,2024-07-02,"29,077",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01113,AL,Russell,,/us/al/russell,2024-07-02,"36,000",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01115,AL,St. Clair,,/us/al/st-clair,2025-04-01,"60,713","9,020",398,4,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,89%,87%,64%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01117,AL,Shelby,,/us/al/shelby,2025-05-28,"104,028","94,756","4,105",12,2025-01-08,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,94%,88%,33%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01119,AL,Sumter,,/us/al/sumter,2023-11-07,"16,030","1,872",37,1,2024-10-02,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,70%,35%,11%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01121,AL,Talladega,,/us/al/talladega,2025-05-13,"57,162","14,785",379,3,2024-10-11,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,87%,17%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01123,AL,Tallapoosa,,/us/al/tallapoosa,2024-07-02,"41,619","12,152",262,3,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,99%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01125,AL,Tuscaloosa,,/us/al/tuscaloosa,2025-02-04,"109,739","46,711","1,803",4,2024-09-30,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,98%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01127,AL,Walker,,/us/al/walker,2024-07-02,"59,855","50,002","1,594",3,2024-09-23,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,96%,96%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
01129,AL,Washington,,/us/al/washington,2024-07-02,"27,608",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01131,AL,Wilcox,,/us/al/wilcox,2024-07-30,"17,180",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
01133,AL,Winston,,/us/al/winston,2024-07-02,"34,129",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02013,AK,Aleutians East Borough,,/us/ak/aleutians-east,2025-07-08,"1,914",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02016,AK,Aleutians West Census Area,,/us/ak/aleutians-west,2025-06-24,"6,060",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02020,AK,Anchorage,,/us/ak/anchorage,2025-09-30,"100,714","100,627","1,346",1,2024-12-06,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,93%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
02050,AK,Bethel Census Area,,/us/ak/bethel,2025-06-24,"17,767",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02060,AK,Bristol Bay Borough,,/us/ak/bristol-bay,2025-06-24,"4,038",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02063,AK,Chugach Census Area,,/us/ak/chugach,2025-06-24,"12,265",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02066,AK,Copper River Census Area,,/us/ak/copper-river,2025-06-24,"4,827",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02068,AK,Denali Borough,,/us/ak/denali,2025-07-08,"6,343",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02070,AK,Dillingham Census Area,,/us/ak/dillingham,2025-06-24,"7,456",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02090,AK,Fairbanks North Star Borough,,/us/ak/fairbanks-north-star,2025-07-08,"62,904","11,217",266,1,2024-09-25,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,99%,46%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
02100,AK,Haines Borough,,/us/ak/haines,2025-06-24,"4,609",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02105,AK,Hoonah-Angoon,,/us/ak/hoonah-angoon,2025-06-24,"3,204",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02110,AK,Juneau,,/us/ak/juneau,2025-09-03,"16,080","15,961",188,1,2024-01-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
02122,AK,Kenai Peninsula Borough,,/us/ak/kenai-peninsula,2025-07-08,"65,954","4,920",421,1,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
02130,AK,Ketchikan Gateway Borough,,/us/ak/ketchikan-gateway,2025-08-19,"7,573",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02150,AK,Kodiak Island Borough,,/us/ak/kodiak-island,2025-09-30,"8,731",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02158,AK,Kusilvak Census Area,,/us/ak/kusilvak,2025-06-24,"6,250",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02164,AK,Lake and Peninsula Borough,,/us/ak/lake-and-peninsula,2025-06-24,"8,491",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02170,AK,Matanuska-Susitna Borough,,/us/ak/matanuska-susitna,2025-09-03,"110,593","6,852",110,2,2024-09-20,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,45%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
02180,AK,Nome Census Area,,/us/ak/nome,2025-06-24,"10,980",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02185,AK,North Slope Borough,,/us/ak/north-slope,2025-09-03,"23,097",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02188,AK,Northwest Arctic Borough,,/us/ak/northwest-arctic,2025-06-24,"13,036",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02195,AK,Petersburg,,/us/ak/petersburg,2025-02-04,"8,191",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02198,AK,Prince of Wales-Hyder Census Area,,/us/ak/prince-of-wales-hyder,2025-06-24,"11,482",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02220,AK,Sitka,,/us/ak/sitka,2025-03-18,"10,723",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02230,AK,Skagway,,/us/ak/skagway,2025-06-24,"2,313",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02240,AK,Southeast Fairbanks Census Area,,/us/ak/southeast-fairbanks,2025-07-08,"5,578",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02275,AK,Wrangell,,/us/ak/wrangell,2025-07-08,"5,554",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02282,AK,Yakutat,,/us/ak/yakutat,2025-06-24,"2,306",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
02290,AK,Yukon-Koyukuk Census Area,,/us/ak/yukon-koyukuk,2025-08-05,"16,306",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
04001,AZ,Apache,,/us/az/apache,2024-05-21,"57,815","57,697",618,4,2025-03-27,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
04003,AZ,Cochise,,/us/az/cochise,2025-11-11,"122,945","122,931","1,282",8,2025-03-14,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,94%,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
